import time: self [us] | cumulative | imported package
import time:       214 |        214 |   _io
import time:        29 |         29 |   marshal
import time:       559 |        559 |   posix
import time:       828 |       1628 | _frozen_importlib_external
import time:       717 |        717 |   time
import time:       266 |        982 | zipimport
import time:       243 |        243 |     _codecs
import time:      1326 |       1569 |   codecs
import time:      1290 |       1290 |   encodings.aliases
import time:       717 |        717 |   encodings.cp437
import time:      3601 |       7175 | encodings
import time:       479 |        479 | encodings.utf_8
import time:        75 |         75 | _signal
import time:       476 |        476 | encodings.latin_1
import time:       208 |        208 |     _abc
import time:       681 |        888 |   abc
import time:      1033 |       1921 | io
import time:       137 |        137 |       _stat
import time:       439 |        575 |     stat
import time:      1656 |       1656 |     _collections_abc
import time:       326 |        326 |       genericpath
import time:       448 |        773 |     posixpath
import time:       986 |       3989 |   os
import time:       406 |        406 |   _sitebuiltins
import time:        58 |         58 |     _locale
import time:       215 |        272 |   _bootlocale
import time:      1085 |       1085 |   sitecustomize
import time:        80 |         80 |   usercustomize
import time:      3069 |       8899 | site
import time:       609 |        609 |     types
import time:      1277 |       1886 |   enum
import time:      1401 |       1401 |   _uuid
import time:      1886 |       5172 | uuid
import time:       721 |        721 |     _weakrefset
import time:       109 |        109 |     itertools
import time:      1593 |       2423 |   weakref
import time:       689 |        689 |   copyreg
import time:       324 |        324 |       org
import time:        67 |        390 |     org.python
import time:        23 |        413 |   org.python.core
import time:      1840 |       5363 | copy
import time:      4083 |       4083 |   _ctypes
import time:      1879 |       1879 |     _struct
import time:       661 |       2540 |   struct
import time:       920 |        920 |   ctypes._endian
import time:      2343 |       9884 | ctypes
import time:      2994 |       2994 |         _heapq
import time:       769 |       3762 |       heapq
import time:       618 |        618 |       keyword
import time:       112 |        112 |         _operator
import time:       703 |        815 |       operator
import time:       324 |        324 |       reprlib
import time:        91 |         91 |       _collections
import time:      1314 |       6921 |     collections
import time:        38 |         38 |     _functools
import time:      1775 |       8733 |   functools
import time:      1726 |      10458 | threading
import time:      2042 |       2042 |   _queue
import time:       774 |       2816 | queue
import time:       143 |        143 | pyautogui
Traceback (most recent call last):
  File "/Users/kevindiu/go/src/github.com/kevindiu/autoclicker/autoclicker.py", line 9, in <module>
    import pyautogui
ModuleNotFoundError: No module named 'pyautogui'
